[order_id]
1
[pallet_quantity]
5
[pallet_id 	 x 	 y 	 z 	 weight 	 total_load]
0	1200	800	1500	25000	712300
[total_volume 	 total_occupied_volume 	 m1 	 m2]
1440000000	1382980068	1.34615	21.2121
[item_quantity]
66
[xmin 	 ymin 	 zmin 	 xmax 	 ymax 	 zmax 	 sequence 	 item_type 	 weight 	 k 	 irregular]
0	436	206	290	800	412	18	39	8200	0	0
0	0	412	596	294	810	19	3	2960	0	0
596	0	412	1192	286	808	20	6	5560	0	0
922	286	412	1192	496	527	21	98	6400	0	0
584	319	412	922	514	802	22	34	14940	0	0
248	294	412	496	518	576	23	78	6440	0	0
0	294	412	248	518	576	24	78	6440	0	0
922	286	527	1192	496	642	25	98	6400	0	0
0	324	576	560	518	774	26	86	8560	0	0
922	286	642	1192	496	757	27	98	6400	0	0
596	0	808	1192	278	1204	28	105	3280	0	0
922	286	757	1170	510	921	29	79	6440	0	0
0	0	810	596	286	1206	30	7	5560	0	0
584	319	802	922	514	1192	31	34	14940	0	0
0	298	774	584	518	1164	32	14	3740	0	0
598	514	412	1194	800	806	33	16	3280	0	0
0	518	412	598	800	806	34	0	3760	0	0
922	278	921	1170	502	1085	35	78	6440	0	0
922	278	1085	1192	488	1200	36	99	6400	0	0
610	0	1204	1008	274	1500	37	18	1510	0	0
1008	0	1204	1168	290	1334	38	42	6640	0	0
898	290	1200	1186	498	1326	39	47	8220	0	0
406	0	1206	610	286	1332	40	52	6360	0	0
202	0	1206	406	286	1332	41	52	6360	0	0
398	0	1332	588	280	1497	42	37	3060	0	0
208	0	1332	398	280	1497	43	37	3060	0	0
500	286	1192	898	510	1494	44	31	3680	0	0
0	0	1206	202	302	1364	45	82	8700	0	0
250	302	1164	500	524	1328	46	80	6440	0	0
0	302	1164	250	524	1328	47	80	6440	0	0
594	514	806	1190	800	1200	48	15	3280	0	0
0	524	806	594	800	1204	49	5	3180	0	0
250	302	1328	500	524	1492	50	80	6440	0	0
1008	0	1334	1198	280	1499	51	36	3060	0	0
898	290	1326	1178	480	1491	52	37	3060	0	0
595	512	1200	991	800	1496	53	17	1700	0	0
991	498	1200	1193	800	1358	54	83	8700	0	0
991	512	1358	1199	800	1484	55	47	8220	0	0
0	0	1364	208	286	1482	56	51	7760	0	0
0	302	1328	250	524	1492	57	80	6440	0	0
0	530	1204	595	800	1499	58	9	1800	0	0
[pallet_id 	 x 	 y 	 z 	 weight 	 total_load]
3	1200	800	1500	25000	405560
[total_volume 	 total_occupied_volume 	 m1 	 m2]
1440000000	1333393905	1.12	28.0702
[item_quantity]
57
[xmin 	 ymin 	 zmin 	 xmax 	 ymax 	 zmax 	 sequence 	 item_type 	 weight 	 k 	 irregular]
0	0	0	276	596	396	0	11	2960	0	0
276	0	0	552	594	398	1	5	3180	0	0
552	0	0	908	430	320	2	60	15700	0	0
908	0	0	1198	364	206	3	106	8200	0	0
560	444	0	992	800	324	4	58	16920	0	0
992	404	0	1190	800	162	5	111	5660	0	0
0	606	0	560	800	198	6	85	8560	0	0
280	610	198	560	800	363	7	36	3060	0	0
0	610	198	280	800	363	8	36	3060	0	0
552	0	320	908	430	640	9	60	15700	0	0
908	0	206	1198	364	412	10	106	8200	0	0
992	404	162	1190	800	324	11	110	5660	0	0
260	0	398	545	395	993	12	8	1800	0	0
0	0	396	260	296	620	13	41	10040	0	0
260	404	398	546	608	624	14	26	7400	0	0
0	296	396	260	592	620	15	41	10040	0	0
0	610	363	280	800	528	16	36	3060	0	0
280	610	363	560	800	528	17	36	3060	0	0
908	0	412	1200	356	602	18	40	7540	0	0
545	0	640	941	404	914	19	119	3580	0	0
941	0	602	1167	406	884	20	64	6000	0	0
560	444	324	992	800	648	21	58	16920	0	0
992	406	324	1184	800	618	22	92	6340	0	0
0	0	620	256	300	788	23	77	7520	0	0
0	328	620	190	608	785	24	37	3060	0	0
190	448	624	410	608	778	25	24	2380	0	0
412	408	648	812	800	918	26	67	3320	0	0
812	464	648	986	800	902	27	115	7960	0	0
0	0	788	244	408	1190	28	12	2700	0	0
0	608	528	394	800	822	29	29	6340	0	0
250	0	993	600	430	1308	30	53	15420	0	0
600	0	914	1008	404	1112	31	69	5020	0	0
1008	0	884	1198	195	996	32	103	4100	0	0
1008	195	884	1198	390	996	33	103	4100	0	0
992	406	618	1184	800	912	34	91	6340	0	0
0	466	822	412	800	1014	35	114	14400	0	0
600	0	1112	1008	404	1310	36	68	5020	0	0
1008	0	996	1184	342	1230	37	61	5460	0	0
412	444	918	842	800	1238	38	59	15700	0	0
250	0	1308	554	258	1484	39	75	7180	0	0
0	0	1190	250	222	1354	40	81	6440	0	0
250	258	1308	554	516	1484	41	75	7180	0	0
0	222	1190	250	444	1354	42	81	6440	0	0
0	466	1014	412	800	1206	43	114	14400	0	0
554	0	1310	824	280	1500	44	19	7000	0	0
554	280	1310	802	458	1490	45	62	1960	0	0
824	0	1310	1048	394	1486	46	112	2280	0	0
1048	0	1230	1178	400	1470	47	63	3600	0	0
608	468	1238	820	800	1500	48	23	10500	0	0
842	410	912	1180	605	1302	49	34	14940	0	0
842	605	912	1180	800	1302	50	34	14940	0	0
820	404	1302	1046	800	1480	51	20	2900	0	0
1046	410	1302	1192	800	1500	52	88	4420	0	0
224	534	1238	608	800	1494	53	30	3740	0	0
0	0	1354	208	286	1472	54	51	7760	0	0
0	476	1206	224	800	1360	55	108	6120	0	0
0	404	1360	194	800	1494	56	96	2280	0	0
[pallet_id 	 x 	 y 	 z 	 weight 	 total_load]
4	1200	800	446	25000	150680
[total_volume 	 total_occupied_volume 	 m1 	 m2]
428160000	360388380	1.15385	26.087
[item_quantity]
23
[xmin 	 ymin 	 zmin 	 xmax 	 ymax 	 zmax 	 sequence 	 item_type 	 weight 	 k 	 irregular]
0	0	0	258	304	176	0	74	7180	0	0
258	0	0	484	406	282	1	65	6000	0	0
484	0	0	820	404	192	2	113	14380	0	0
820	0	0	1156	404	192	3	113	14380	0	0
0	304	0	258	608	176	4	74	7180	0	0
0	0	176	204	280	398	5	22	5720	0	0
0	300	176	184	578	418	6	32	2780	0	0
204	0	282	424	160	436	7	25	2380	0	0
204	160	282	454	382	446	8	81	6440	0	0
484	0	192	636	316	428	9	90	6060	0	0
636	0	192	912	300	378	10	35	10400	0	0
912	0	192	1064	316	428	11	89	6060	0	0
1064	0	192	1198	340	442	12	21	8100	0	0
258	406	0	858	524	398	13	73	3700	0	0
280	524	0	876	800	396	14	10	2960	0	0
876	428	0	1176	574	248	15	118	7620	0	0
876	590	0	1146	800	115	16	99	6400	0	0
876	352	248	1200	574	402	17	76	7140	0	0
876	574	115	1200	800	267	18	102	7080	0	0
876	576	267	1200	800	421	19	107	6120	0	0
0	632	0	264	800	85	20	27	3100	0	0
0	610	85	280	800	250	21	37	3060	0	0
0	578	250	250	800	414	22	81	6440	0	0
